Gene,t_stat,p_value,log2FC,p_adj
CLDN1,14.08811061126953,6.676174892362665e-22,3.7487425978431563,1.0173320208429037e-17
CDH3,14.143409753917053,8.360716805086322e-22,4.126852106580426,1.0173320208429037e-17
CLEC3B,-13.408005193487973,4.4268981070130805e-21,-3.338491429839199,2.693324808306758e-17
SCARA5,-13.451994805748434,3.909332027340017e-21,-3.280186774565354,2.693324808306758e-17
MAFG-AS1,14.177700322839165,1.6857345868077003e-20,1.7054089783836628,8.204807380910439e-17
GLP2R,-14.64317936693798,5.631532735605584e-20,-2.551886136278497,2.284149677561625e-16
TP53INP2,-12.628145018146872,8.231486621238152e-20,-1.9922205090978222,2.8617351202064525e-16
GUCA2B,-12.437022715483586,2.8530483338833476e-19,-4.31924271071155,8.678973031673144e-16
GLTP,-12.437497277637203,3.7563001217704335e-19,-1.4963462703621975,1.0157035529267253e-15
PRKG2,-13.762612772210547,6.2143904633183075e-19,-2.3103133564920633,1.5123340631531432e-15
FOXQ1,12.368183401657634,9.764057491414298e-19,4.059691578816572,2.160164573736894e-15
MIER1,-11.837384040726237,2.170549944032148e-18,-1.1454419042463018,4.223168771611079e-15
KRT80,13.124529759947327,2.255966224151218e-18,4.064400687111506,4.223168771611079e-15
ETV4,11.804835252530411,2.6023681695478163e-18,3.142105745474761,4.226974917376858e-15
TMIGD1,-11.749353725048724,2.605383948087314e-18,-3.683762549715337,4.226974917376858e-15
ADCY5,-12.225885789188567,2.846407659980388e-18,-2.459603485694223,4.3293860508301695e-15
SPTBN2,12.393693562004463,3.679516728972575e-18,2.4472331373335794,5.267336418604505e-15
SLCO4A1,11.644569432550918,4.048052802367054e-18,2.605977536655315,5.472967388800257e-15
CA1,-11.54969375772865,5.793843200207804e-18,-3.648864299596714,7.0806714382881116e-15
GNG7,-11.568104389644335,5.819092240539211e-18,-1.7107043650738256,7.0806714382881116e-15
TRIB3,11.519258583192444,1.0520939518683248e-17,3.214074321299151,1.2005863337159511e-14
PPP2R3A,-11.391679763655693,1.2826777069614865e-17,-1.9137457230194492,1.2005863337159511e-14
FGL2,-11.401724297108125,1.2137780385717358e-17,-2.3928443103203207,1.2005863337159511e-14
CADM3,-12.31033765590522,1.090875143268415e-17,-3.151670050570533,1.2005863337159511e-14
DPT,-11.646107885461497,1.24816578872496e-17,-3.5784113749004076,1.2005863337159511e-14
SMPD1,-11.385128262916577,1.1766062867632979e-17,-1.6823966985634105,1.2005863337159511e-14
CDC14A,-11.3476478754555,1.3473494992204806e-17,-1.4301798125202487,1.214411015297393e-14
CIPC,-11.536219032968146,1.4669097385695308e-17,-1.2635969318461964,1.2749541213510036e-14
CEMIP,11.783439253350398,1.8047100977404104e-17,3.8931606508164047,1.5144629289176076e-14
