Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Human cytomegalovirus infection,18/225,0.3168053619429386,0.6896609033065509,0,0,1.1537110232762406,1.3261535493063918,PRKCB;ITGB3;PTGER3;ITPR1;GNAI1;ADCY5;GNAO1;GNG3;ADCY9;CXCL12;GNG2;CREB3L3;GNA11;GNG7;PTK2B;CALM1;PRKACB;IL6R
KEGG_2021_Human,Long-term potentiation,6/67,0.3300474707587384,0.713003314692542,0,0,1.304087806937311,1.4456058300837276,RAP1A;PPP1R1A;PRKCB;ITPR1;CALM1;PRKACB
KEGG_2021_Human,beta-Alanine metabolism,3/30,0.3529422348254567,0.7473740138556866,0,0,1.4726782456975176,1.5337220492842314,AOC3;ACOX1;ACADS
KEGG_2021_Human,Gastric cancer,12/149,0.3538441793240921,0.7473740138556866,0,0,1.1615278127359678,1.2067096581822354,CDKN2B;ABCB1;WNT5B;BCL2;GAB1;CTNNA3;WNT9A;CTNNA2;FGF2;RXRG;FGFR2;FGF10
KEGG_2021_Human,Vitamin B6 metabolism,1/6,0.3538802751118798,0.7473740138556866,0,0,2.650178189593728,2.752996169470808,AOX1
KEGG_2021_Human,Other glycan degradation,2/18,0.3636171846515932,0.7587195081539153,0,0,1.656562054208274,1.675867057333834,NEU4;FUCA1
KEGG_2021_Human,Thermogenesis,18/232,0.3646143219396907,0.7587195081539153,0,0,1.1155480033984706,1.1254932658647123,PRKAA2;NPR1;GCG;COX7A1;ADCY5;ADCY9;CREB3L3;CPT2;CNR1;DPF3;PRKG2;PLIN1;SLC25A20;PRKACB;PPARGC1A;MGLL;PRKG1;FGFR1
KEGG_2021_Human,Prostate cancer,8/97,0.3716944300112872,0.7600250127732803,0,0,1.1916551302276166,1.1793610470456246,ZEB1;CREB3L3;IL1R2;PDGFD;BCL2;TMPRSS2;FGFR2;FGFR1
KEGG_2021_Human,Galactose metabolism,3/31,0.3725644874160204,0.7600250127732803,0,0,1.4200061180789232,1.4020361331595252,UGP2;AKR1B10;SI
KEGG_2021_Human,Vasopressin-regulated water reabsorption,4/44,0.3732985045070174,0.7600250127732803,0,0,1.3254285714285714,1.3060466958413952,ADCY9;CREB3L3;PRKACB;DYNC1I1
