Gene,t_stat,p_value,log2FC,p_adj
SCGN,-9.913354236108013,4.0491303316131046e-14,-2.9732296785079777,6.008514375008324e-12
MYLK,-8.707065409468465,3.690774031573e-12,-2.967432199594608,2.279661848537069e-10
TACR2,-4.792115793246624,1.979691140387507e-05,-2.948735018074868,0.0001190456229119604
MAB21L2,-6.700452063653149,2.0083167552784675e-08,-2.94532928842832,3.1130188889462917e-07
PKIB,-8.960114844958945,6.399370514364968e-13,-2.930730654660045,5.390951786246572e-11
GREM2,-9.96214777258413,1.6102348841180463e-14,-2.9269407958393616,2.8603413240800563e-12
SLC4A4,-9.417593774496034,4.522559670364378e-14,-2.9169236868161237,6.529542718139744e-12
CDH19,-9.23524535368196,2.9096595428710965e-11,-2.894840474795977,1.2444547387576626e-09
ADAMDEC1,-7.186139329925549,7.741412283690323e-10,-2.8662648011073024,1.9604059244109023e-08
SLC51A,-5.032106472149089,5.928748185684442e-06,-2.858559860062299,4.1627817613045755e-05
AKR1B10,-8.70206118341892,8.742933745586109e-13,-2.853028649633057,7.045299193131906e-11
MYL9,-5.090284400696477,5.3591599294152995e-06,-2.849441964760042,3.815696782979834e-05
MYOC,-8.580584169560808,5.915417958360652e-10,-2.835993362628673,1.5715896444832405e-08
CLU,-8.457271581366975,3.78748669726282e-12,-2.818834089683585,2.3158863383062308e-10
OGN,-9.922966554274867,1.1082303999564458e-14,-2.817005616917537,2.152511540178639e-12
ANGPTL1,-7.745765066965483,3.425202177994389e-10,-2.8101562384336822,9.852922009890242e-09
SLC26A3,-7.519422170861803,2.0056272833851826e-10,-2.792739776870624,6.28171757637861e-09
LYPD8,-7.097115537713809,7.926602237035597e-10,-2.7909398949492585,1.9982260183347835e-08
PADI2,-8.378310699760123,3.5464286176267058e-12,-2.7678729035523135,2.2001735579669007e-10
FAM107A,-9.960818007220347,2.9650059673007474e-14,-2.765600457065871,4.5097740762644365e-12
C11orf86,-7.914387994311712,4.083068637942353e-11,-2.764688581750164,1.623620234852371e-09
SLC17A4,-9.342192616728614,1.557510429470335e-13,-2.763705187304183,1.688986898564957e-11
KCNMA1,-8.503483880240008,1.9511138103004714e-11,-2.746972704135076,8.875197324761173e-10
CLDN8,-8.880937196626535,4.937433686647063e-13,-2.723506782961905,4.417550963170696e-11
PRELP,-8.601285953300275,6.966156190173928e-12,-2.7206293271887345,3.8096264504286004e-10
HSPB7,-5.848885403113761,4.605169591675347e-07,-2.7170377355047686,4.611992065144496e-06
